Fox fitness
Max;Avg;Min
8.880977;1.233019;0.9230363
2.974751;1.029028;0.9658372
4.139477;1.096626;0.9338547
8.881894;1.48814;0.8345178
2.082702;1.016334;0.9675144
2.976069;1.054285;0.9631098
8.859172;1.565699;0.9563853
5.060421;1.195897;0.9208369
7.071946;1.754839;0.9517663
4.562414;1.172358;0.9666389
5.972567;1.255772;0.9622998
5.555314;1.516275;0.9459738
4.166156;1.245921;0.9347625
2.284214;1.058018;0.9641377
3.667807;1.245694;0.9671416
5.966915;1.53598;0.9165099
7.354134;1.681422;0.9407668
3.275912;1.086777;0.967058
5.776267;1.773031;0.9608696
6.32969;1.830487;0.9625877
10.21732;2.242171;0.9294479
9.359896;2.466116;0.9140162
9.022663;2.391133;0.9524106
11.16257;3.859193;0.9283964
7.654557;2.25709;0.956618
11.21199;2.711427;0.9676986
6.328477;1.539134;0.9653091
9.919527;1.618389;0.9621433
12.07704;3.311549;0.9658633
10.4098;2.154007;0.961674
11.01522;2.42996;0.9628156
12.30002;3.2194;0.9558898
11.60432;4.703856;0.9448289
12.24371;6.229559;0.9342518
11.89977;3.556897;0.9654617
11.49834;3.156172;0.9573129
11.82215;4.51165;0.9586
12.39831;5.019708;0.96613
13.13504;5.772038;0.9338313
12.79752;5.279948;0.9371191
11.99648;5.109205;0.9667311
12.61925;5.467011;0.9677738
11.93907;6.443817;0.9563965
11.21234;4.641613;0.9651954
10.58952;4.391977;0.9628898
11.97512;4.226377;0.9585255
12.615;5.727458;0.9625265
12.11965;6.467436;0.966154
12.92558;7.459876;0.9131515
12.41392;6.275486;0.9588506
13.59283;6.638938;0.9380096
11.70178;5.080163;0.9581543
12.11764;5.425269;0.959176
12.32302;6.542831;0.9489852
12.37404;6.076581;0.9464966
11.89573;5.851079;0.9637918
12.1802;6.221553;0.9485814
12.6748;5.491657;0.9573159
12.50555;6.827731;0.9612139
12.58183;5.885214;0.9588783
11.82256;6.41995;0.9503016
12.30459;6.516735;0.9611868
12.30185;5.156768;0.9669306
12.1095;4.932985;0.9628326
12.90546;7.487846;0.9620795
12.51868;6.154493;0.9000165
13.57823;6.154147;0.9371219
12.30932;4.930249;0.9630387
11.72446;4.58215;0.9637787
12.52648;6.784883;0.950375
11.71996;6.329711;0.9287044
13.12959;8.184054;0.9342389
12.90661;7.381513;0.9489702
12.5253;7.052067;0.9509487
12.5177;7.278871;0.9342376
13.33763;7.466854;0.8733363
11.49276;5.598312;0.9644328
11.20592;4.546243;0.9633316
12.03286;6.497099;0.9640542
12.70716;6.202816;0.963162
13.11406;7.608803;0.9089419
12.97709;7.075167;0.9656485
12.20835;6.508951;0.9658228
13.00868;7.952466;0.9354485
13.09495;7.228771;0.9605311
13.34192;7.771233;0.8955764
12.90737;6.839626;0.9596581
12.62862;7.099187;0.9627275
13.05651;6.99813;0.962764
12.47782;5.568032;0.9650763
12.70968;6.929807;0.9651524
12.01645;5.303392;0.9653027
12.92004;6.404909;0.9359792
11.52719;3.268339;0.9655405
12.30259;6.464134;0.9613805
12.6926;6.619781;0.9661
13.52574;8.030379;0.9098189
13.86059;8.650683;0.8755658
13.20625;7.484961;0.9439699
12.79656;6.771007;0.937156
13.96993;8.141906;0.9038829
11.81916;5.45704;0.9666062
12.81682;6.696634;0.9651177
13.64244;8.564956;0.8935401
13.19885;6.956034;0.9640403
13.65523;8.444736;0.924222
13.2931;7.820986;0.9607095
12.41557;6.312314;0.9612586
14.06062;9.058127;0.8585161
12.96954;7.09515;0.9163867
12.98464;7.429354;0.9399347
12.19323;7.033811;0.8959007
11.93415;2.816309;0.9676321
11.51679;4.552537;0.9610506
12.69294;5.146663;0.9626758
13.27388;6.735818;0.9647341
12.93856;6.339262;0.8894613
12.89338;6.703938;0.9532673
12.31072;6.43534;0.9590147
13.21668;7.049744;0.9462858
11.40119;5.835184;0.9625881
12.59612;6.909121;0.9632679
12.31349;5.52364;0.9606455
