Rabbit fitness
Max;Avg;Min
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
-Infinity;-Infinity;-Infinity
